,ngram,comment,label
0,nice,"<ng>nice</ng> to see you all gys , really its going on <ng>nice</ng> conversations, i wish you happy deepawli :)",NAG
1,nice,"Nawab Nihal Very <ng>nice</ng> Lineeeeeeeeee
    Beautifull pic
        Superrrrrrrrrrrrr
           Duperrrrrrrrr
               Awesome
                   Fantastic
                      Fabulous
                         Excellent
                            ajawab
                               Zabardast
                                 Mindblowing
                                    Wonderfull
                                      Best post 

☆♡☆<ng>nice</ng> ❤♡☆ Very <ng>nice</ng> Lineeeeeeeeee
    Beautifull pic
        Superrrrrrrrrrrrr
           Duperrrrrrrrr
               Awesome
                   Fantastic
                      Fabulous
                         Excellent
                            ajawab
                               Zabardast
                                 Mindblowing
                                    Wonderfull
                                      Best post 

☆♡☆<ng>nice</ng>❤♡☆ Very <ng>nice</ng> Lineeeeeeeeee
    Beautifull pic
        Superrrrrrrrrrrrr
           Duperrrrrrrrr
               Awesome
                   Fantastic
                      Fabulous
                         Excellent
                            ajawab
                               Zabardast
                                 Mindblowing
                                    Wonderfull
                                      Best post 

☆♡☆<ng>nice</ng>❤♡☆ Very <ng>nice</ng> Lineeeeeeeeee
    Beautifull pic
        Superrrrrrrrrrrrr
           Duperrrrrrrrr
               Awesome
                   Fantastic
                      Fabulous
                         Excellent
                            ajawab
                               Zabardast
                                 Mindblowing
                                    Wonderfull",NAG
2,nice,Appreciate CNBC to keep us updated. <ng>nice</ng> coverage by Sonia.,NAG
3,nice,<ng>nice</ng>,NAG
4,nice,<ng>nice</ng> pic,NAG
5,nice,Very very <ng>nice</ng> pic,NAG
6,nice,You deserve sir . Congrats.. we look forward to see you & our company on top of world of communication.  Have a <ng>nice</ng> day sir......VR,NAG
7,nice,"<ng>nice</ng> pick
sir",NAG
8,nice,<ng>nice</ng> one!! well said!!,NAG
9,nice,<ng>nice</ng> to see CNBC TV 18 to Auranagabad.. talking to Rahul,NAG
10,nic,"----Majority of Kashmiris are pro-India but are unable to assert effectively in order to bring normalcy in Kashmir hence on invitation I will be going to Kashmir where with all the pro-India Kashmiris we (through political movement) will try to bring normalcy in Kashmir and also to solve Kashmir problem as mentioned at:-

http://aapress.com/eth<ng>nic</ng>ity/indian/another-opportunity-to-solve-kashmir-problem/  OR

http://www.alwihdainfo.com/Another-opportunity-to-solve-Kashmir-problem_a43528.html  OR

http://www.pakistanchristianpost.com/letterdetails.php?letterid=790 OR

https://groups.yahoo.com/neo/groups/kashmir-global-network/conversations/messages/50215 

Regards

Email: hemraj_jain@yahoo.com",NAG
11,nic,"mah govt itself is at loss of 25-30% annual revenue, plus this will increase unemployement, they are planning to rope in some km area of highway under concerned mu<ng>nic</ng>ipal dept, bars and shops in mumbai are already working. Everyone knows govt will litreally go bankrupt without this industry such is the revenue from it",NAG
12,nic,"first decrease taxes and increase tax net.cover each and every one to pay minimum taxes. First catch politicians neta they have lots of monies,catch govt officials and bureaucrats,catch custom & excise people right from peon to top people, catch police people they too have lots of monies, catch sales and income tax people right from peon to commissioners.they have looted India.catch mu<ng>nic</ng>ipality right from peon to mu<ng>nic</ng>ipality commissioners they too have minted lots of monies.catch peons because all setting is done by PEONS.catch railway people they too minted lots of monies.catch STATE OWNED BANKS officials they too mint lots of monies.Indians are intelligent in cheating and minting monies in most unethical manners.not all but majority. We can leave behind WORLD BANK AND IMF.catch temples they too have lots of cash and gold.if you want more feedback I will give provide me your email I'd.I feel 35 CRORES INDIANS MUST PAY DIRECT OR INDIRECT TAXES. FIRST CATCH THIS CORRUPT NETAS........AND CONTROL THEM, REST WILL FALL IN LINE.....",NAG
13,nic,"<ng>nic</ng>e to see you all gys , really its going on <ng>nic</ng>e conversations, i wish you happy deepawli :)",NAG
14,nic,"Nawab Nihal Very <ng>nic</ng>e Lineeeeeeeeee
    Beautifull pic
        Superrrrrrrrrrrrr
           Duperrrrrrrrr
               Awesome
                   Fantastic
                      Fabulous
                         Excellent
                            ajawab
                               Zabardast
                                 Mindblowing
                                    Wonderfull
                                      Best post 

☆♡☆<ng>nic</ng>e ❤♡☆ Very <ng>nic</ng>e Lineeeeeeeeee
    Beautifull pic
        Superrrrrrrrrrrrr
           Duperrrrrrrrr
               Awesome
                   Fantastic
                      Fabulous
                         Excellent
                            ajawab
                               Zabardast
                                 Mindblowing
                                    Wonderfull
                                      Best post 

☆♡☆<ng>nic</ng>e❤♡☆ Very <ng>nic</ng>e Lineeeeeeeeee
    Beautifull pic
        Superrrrrrrrrrrrr
           Duperrrrrrrrr
               Awesome
                   Fantastic
                      Fabulous
                         Excellent
                            ajawab
                               Zabardast
                                 Mindblowing
                                    Wonderfull
                                      Best post 

☆♡☆<ng>nic</ng>e❤♡☆ Very <ng>nic</ng>e Lineeeeeeeeee
    Beautifull pic
        Superrrrrrrrrrrrr
           Duperrrrrrrrr
               Awesome
                   Fantastic
                      Fabulous
                         Excellent
                            ajawab
                               Zabardast
                                 Mindblowing
                                    Wonderfull",NAG
15,nic,Appreciate CNBC to keep us updated. <ng>nic</ng>e coverage by Sonia.,NAG
16,nic,<ng>nic</ng>e,NAG
17,nic,<ng>nic</ng>e pic,NAG
18,nic,"Respected Mr. Law MINISTER Sir,
Kindly make it convenient to be initiated redressal of grievances pending yet.
My life with family as an Er. Entrepreneur have been spoiled due to Dubious Actions by Vengeful Officials of corrupted  ISI, SBI, KFC, etc.
From 1982 to 1997, they have played with my life as an SSI unit proprietor. 
During 1990, I tried justice  from ISI and SBI through Kerala State Consumer Disputes Redressal Commission  and in 1992,  an appeal filed with National CDRC, both Commissions having Judicial as well as Non Judicial Officers found some tech<ng>nic</ng>al reasons to deny me Justice. I had no advocate to sue my plight. All members of both Commissions realized the truth, but with the help of LIMITATION Act. But my inexperience and obligation towards the system, I became silent and continue efforts to revive and rehabilitation of my Sick SSI unit with full cooperation of Industries Department.
On 7.7.1995, I paid to KFC on One Time Settlement in full spirit of letter  of KFC dated 23.6.95. But my inability to please the corrupted Officials, the unit taken over by Revenue Recovery Act on 30.5.95 was kept with custody of KFC.
I was at  Head Office of  KFC, Trivandrum  after my OTS payment, till a road accident at Palauan over Trivandrum on 6.3.97. 
I was under treatment from Medical College  Trivandrum, Kannur District Hospital, City Hospital Mangalore, etc and in least of 1997, I visited KFC  HO with the help Crutches, and realised that instead of blood, water is flowing through the Officials and the same day visit Kerala State CDRC and very next day filed a complaint against KFC. After three months, the Commission received reply from KFC with copy to me. On the basis of KFC's reply, the Commission started dictating Judgement and Dismissed my Complaint directing to Sue in Civil Court.
Next day I filed a Review Petition besides few other. The Hearing Day when I stand with help of Crutches and started to express my view, the Commission President threatened on huge cost to be Ordered against me. I managed to escape the so called Consumer Court with fear. 
But still I know that any one have common sense will award justice to me from National and State CDRC on both cases. 
After ,1977 to 2009, I was under acute mental depression.
I started writing to Central And State Governments and hence passed 5 pages G O, in 2010 direct KFC to settle issues at Board Level and to write to various Ministries of Government of India to enquire and compensated me due to Dubious Actions by ISI and SBI. 
But my efforts continue yet, the Corrupted Officials also continue to resist my efforts at my 67th age. 
What we understand from the synopsis of plight- 
Officials have good salary and support from all cadre of Government to save corrupted ones with the backing of so called Provision in court both Judicial and Quasi Judicial, like CDRCs, Human Rights Commissions, etc.

My plight covered by Malayalam Manorama, The Hindu, Deepika, Deccan Chro<ng>nic</ng>le, etc.. and are at my face book account.
Shall I await for an early justice from the Authorities concerned within my last days and which will light to effectively to formation of New safety measures to self employed personals and prevent such bad experiences suffering by me and family.
Sincerely,
Elembilayi Sadanandan,
Vishnu Nilayam,
Chovva, 
Kannur,
Kerala 670006.
Mob 9388523453
9809274436.
Email e.sadanandan@gmail.com
God's Choicest Blessings be Showered on to all who go through and who reluctant to give justice or who had any role to suffering of mine.",NAG
19,nic,Very very <ng>nic</ng>e pic,NAG
20,anuj,Hi <ng>anuj</ng> brought  divis to days at 710 what to do and Tata motor dvr 275 any target,NAG
21,anuj,<ng>anuj</ng> and Porinju of the view that markets will make a new high before the budget,NAG
22,anuj,Hello <ng>anuj</ng> sir your views on just dial after this rally will this continue or profit booking,NAG
23,anuj,"Hi <ng>anuj</ng>, can I have your view on Balkrishan Industries and Sun Pharma.",NAG
24,anuj,<ng>anuj</ng> teach me a beat the volatility on the expiry day,NAG
25,anuj,"Hi <ng>anuj</ng>, your view on Sun Pharma, heard some rumours that a local fund is buying big on this stock",NAG
26,anuj,<ng>anuj</ng> there are many more things to do in Goa 😜,NAG
27,anuj,Hi <ng>anuj</ng> & Sonia....wats the issue with Dmart not taking part in the rally. do u think it will remain sideways in near future ?,NAG
28,anuj,Hii ... <ng>anuj</ng> ... All commodities stocks have performed well in last few days. What about Coal India ?? Your view.,NAG
29,anuj,Thank you <ng>anuj</ng> and Happy Navratri to you and entire CNBC team,NAG
30,nuj,Hi A<ng>nuj</ng> brought  divis to days at 710 what to do and Tata motor dvr 275 any target,NAG
31,nuj,A<ng>nuj</ng> and Porinju of the view that markets will make a new high before the budget,NAG
32,nuj,Hello a<ng>nuj</ng> sir your views on just dial after this rally will this continue or profit booking,NAG
33,nuj,"Hi A<ng>nuj</ng>, can I have your view on Balkrishan Industries and Sun Pharma.",NAG
34,nuj,A<ng>nuj</ng> teach me a beat the volatility on the expiry day,NAG
35,nuj,"Hi A<ng>nuj</ng>, your view on Sun Pharma, heard some rumours that a local fund is buying big on this stock",NAG
