,ngram,comment,label
0,upid,"So funny st<ng>upid</ng>,,,,,,,,",OAG
1,upid,St<ng>upid</ng> survey 👎👎👎,OAG
2,upid,"Doucett Black.  Your atheism is out of place in this Christian Nation in which you live.

Before wasting time dredging up the whole “separation of Church and State” fallacy, consider the words of James Madison, the Father of Our Constitution:

”We have staked the whole of all our political Institutions upon the capacity of mankind for self-government, upon the capacity of each and all of us to govern ourselves, to control ourselves, to sustain ourselves according to the Ten Commandments of God.”

The man who authored our Constitution did not leave any room for doubt about governing ourselves according to the Ten Commandments of God.  The Congressional records further Christianity as the established religion of these United States of America:   

The process of drafting the First Amendment made the intent of the Founders abundantly clear; for before they approved the final wording, the First Amendment went through nearly a dozen different iterations and extensive discussions. 

“We do not want in America what we had in Great Britain: we don’t want one denomination running the Nation.  We will not all be Catholics, or Anglicans, or any other single denomination.  We do want God’s principles, but we don’t want one denomination running the Nation.”

This intent was well understood, as evidenced by court rulings after the First Amendment. In 1799 the court declared, “By our form of government, the Christian religion is the established religion; and all sects and denominations of Christians are placed on the same equal footing.” 

The U.S. Almanac, while a respected publication, does not constitute the ultimate authority.  Our Founding Fathers, speaking through the U.S. Constitution, hold such authority.  Their position on the topics at hand is indeed upheld by the Supreme Law of the Land, as evidenced by the U.S. Supreme Court.  Perhaps it is you who is “st<ng>upid</ng>” and needs to educate yourself?",OAG
3,upid,"It's India who not only mutilate dead bodies of soldiers but also kill it's own soldier to play victim card it's example is Pathankot , Pakistani Armed forces respects dead body , Do you think Pakistan Armed forces are st<ng>upid</ng> who mutilate soldiers and handed over to Indian Army so that they can play victim card ????????????????????????   It's just dirty mindset of indian army",OAG
4,upid,Even the nation doesn't want ST<ng>upid</ng> and DUFFER like RAHUL GANDHI who  43 and still IMMATURE and CHILDISH by conduct. We need STRONG LEADER who can lead INDIA in positive direction. The days of TOFFEES and BALOONS are over its time to ACT accordingly. WE NEED MODI.,OAG
5,upid,David Clark just check the U.S. almanac and you will see where the U.S. has no official language or religion. Don't be st<ng>upid</ng> to argue if you don't know the truth.,OAG
6,upid,Carry on series... st<ng>upid</ng>ly funny comments on how life should be. By the collective of st<ng>upid</ng>ly serious people.,OAG
7,upid,"I dot approve of noise pollution. But then we have to stop so much honking all around. Early morning a school bus comes to pick the children in our neighborhood the driver keeps honking at 6 am. It's all disturbing. However, I thought Sonu Nigam was less st<ng>upid</ng>.",OAG
8,upid,How st<ng>upid</ng> can you possibly be? Wishing a young officer to be teary eyed?,OAG
9,upid,"St<ng>upid</ng> statement from an actor. Priyanca is smart girl. Her every statement appreciated all religion.
Sonu should read history a lady first lady Indian went out from thia eart and she listened a sound out from the earth. And the sound is adzan. So where do u want to life sonu?? Even out from this earth u will listen adzan everywhere. St<ng>upid</ng> man.",OAG
10,moro,<ng>moro</ng>n probably forgot that if the claim is true he himself is party to it,OAG
11,moro,"Chapter of RSS golawarkr chapter 29 n verse 420 forcing on others community of indians to eat what their choice of menu   food should eat. <ng>moro</ng>n grow up its ours India secular and democratic country.! 
Your party is ruling in the state of  Goa & NorthEast can't ban beef there and cant ban on export too and here talking to be ban in kerala...hahaha <ng>moro</ng>n bhakto",OAG
12,moro,"Undeniable facts about Muslim extremism:

Direct quotes from the Quran:
1. Quran: 4/89 : “They wish you would disbelieve as they disbelieved so you would be alike. So do not take from among them allies until they emigrate for the cause of Allah . But if they turn away, then seize them and kill them wherever you find them and take not from among them any ally or helper.” [Link: https://quran.com/4/89 ] Translation: Kill all Muslims who leave Islam.  
2. Quran: 2/1 : “Alif, Lam, Meem.” [Link: https://quran.com/2/1  ] Translation: Allah and his messengers are always right, and the Quran cannot be doubted”
3. Quran: 8/12 : “[Remember] when your Lord inspired to the angels, ""I am with you, so strengthen those who have believed. I will cast terror into the hearts of those who disbelieved, so strike [them] upon the necks and strike from them every fingertip"".” [Link: https://quran.com/8/12 , https://quran.com/8/60 ] Translation: Terrorize all non-believers and people who do not agree with Islam.
4. Quran: 98/6 : “Indeed, they who disbelieved among the People of the Scripture and the polytheists will be in the fire of Hell, abiding eternally therein. Those are the worst of creatures.” [Link: https://quran.com/98/6 ] Translation: “People of the Scripture (Jews, Christian and Sabians) and Polytheists (Hindus, Buddhists, Sikhs, Jains) are all vilest of creatures that deserve no mercy.”
5. Quran: 4/3  : “And if you fear that you will not deal justly with the orphan girls, then marry those that please you of [other] women, two or three or four. But if you fear that you will not be just, then [marry only] one or those your right hand possesses. That is more suitable that you may not incline [to injustice].” [Link: https://quran.com/4/3] Translation: “Two, three, four..!!”
6. Quran: 5/51  : “O you who have believed, do not take the Jews and the Christians as allies. They are [in fact] allies of one another. And whoever is an ally to them among you - then indeed, he is [one] of them. Indeed, Allah guides not the wrongdoing people.” [Link: https://quran.com/5/51] Translation: “Don’t make Jew and Christian friends ”
7. Quran: 2/216  : “Fighting has been enjoined upon you while it is hateful to you. But perhaps you hate a thing and it is good for you; and perhaps you love a thing and it is bad for you. And Allah Knows, while you know not.” [Link: https://quran.com/2/216] Translation: “Fighting[Jihad] is Muslim’s obligation, even if you don’t want to”
8. Quran: 3/85  : “And whoever desires other than Islam as religion - never will it be accepted from him, and he, in the Hereafter, will be among the losers..” [Link: https://quran.com/3/85] Translation: “Islam is the only acceptable religion”

Pork is banned all Islamic countries, except three. Muslim extremists say other religions are intolerant towards them and they have always been subject to INJUSTICE AND HATRED. May be true, but a very logical justification for this can be deducted by connecting the dots above as well as below... 

The Shoe Bomber was a Muslim 
The Beltway Snipers were Muslims 
The Fort Hood Shooter was a Muslim 
The underwear Bomber was a Muslim 
The U-S.S. Cole Bombers were Muslims
The Madrid Train Bombers were Muslims
The Bafi Nightclub Bombers were Muslims 
The London Subway Bombers were Muslims 
The Moscow Theatre Attackers were Muslims 
The Boston Marathon Bombers were Muslims 
The Pan-Am flight #93 Bombers were Muslims 
The Air France Entebbe Hijackers were Muslims 
The Iranian Embassy Takeover, was by Muslims 
The Beirut U.S. Embassy bombers were Muslims 
The Libyan U.S. Embassy Attack was by Musiims 
The Buenos Aires Suicide Bombers were Muslims 
The Israeli Olympic Team Attackers were Muslims 
The Kenyan U.S, Embassy Bombers were Muslims 
The Saudi, Khobar Towers Bombers were Muslims 
The Beirut Marine Barracks bombers were Muslims 
The Besian Russian School Attackers were Muslims 
The first World Trade Center Bombers were Muslims 
The Bombay & Mumbai India Attackers were Muslims 
The Achille Lauro Cruise Ship Hijackers were Muslims 
The September 11th 2001 Airline Hijackers were Muslims'
Think of it:
Buddhists living with Hindus = No Problem
Hindus living with Christians = No Problem
Hindus living with Jews = No Problem
Christians living with Shintos = No Problem
Shintos living with Confucians = No Problem
Confusians living with Baha'is = No Problem
Baha'is living with Jews = No Problem
Jews living with Atheists = No Problem
Atheists living with Buddhists = No Problem
Buddhists living with Sikhs = No Problem
Sikhs living with Hindus = No Problem
Hindus living with Baha'is = No Problem
Baha'is living with Christians = No Problem
Christians living with Jews = No Problem
Jews living with Buddhists = No Problem
Buddhists living with Shintos = No Problem
Shintos living with Atheists = No Problem
Atheists living with Confucians = No Problem
Confusians living with Hindus = No Problem
Muslims living with Hindus = Problem
Muslims living with Buddhists = Problem
Muslims living with Christians = Problem
Muslims living with Jews = Problem
Muslims living with Sikhs = Problem
Muslims living with Baha'is = Problem
Muslims living with Shintos = Problem
Muslims living with Atheists = Problem
MUSLIMS LIVING WITH MUSLIMS = BIG PROBLEM
***SO THIS LEADS TO ******
They’re not happy in Gaza 
They're not happy in Egypt
They're not happy in Libya
They're not happy in <ng>moro</ng>cco
They're not happy in Iran
They're not happy in Iraq
They're not happy in Yemen
They're not happy in Afghanistan
They're not happy in Pakistan
They're not happy in Syria
They're not happy in Lebanon
They're not happy in Nigeria
They're not happy in Kenya
They're not happy in Sudan
*** So, where are they happy? *****
They're happy in Australia
They're happy in England
They're happy in Belgium
They're happy in France
They're happy in Italy
They're happy in Germany
They're happy in Sweden
They're happy in the USA & Canada
They're happy in India
They're happy in almost every country that is not Islamic! And who do they blame? Not Islam... Not their leadership... Not themselves... THEY BLAME THE COUNTRIES THEY ARE HAPPY IN!! And they want to change the countries they're happy in, to be like the countries they came from where they were unhappy!!!!
Islamic Jihad: AN ISLAMIC TERROR ORGANIZATION
ISIS: AN ISLAMIC TERROR ORGANIZATION
Al-Qaeda: AN ISLAMIC TERROR ORGANIZATION
Taliban: AN ISLAMIC TERROR ORGANIZATION
Hamas: AN ISLAMIC TERROR ORGANIZATION
Hezbollah: AN ISLAMIC TERROR ORGANIZATION
Boko Haram: AN ISLAMIC TERROR ORGANIZATION
Al-Nusra: AN ISLAMIC TERROR ORGANIZATION
Abu Sayyaf: AN ISLAMIC TERROR ORGANIZATION
Al-Badr: AN ISLAMIC TERROR ORGANIZATION
Muslim Brotherhood: AN ISLAMIC TERROR ORGANIZATION
Lashkar-e-Taiba: AN ISLAMIC TERROR ORGANIZATION
Palestine Liberation Front: AN ISLAMIC TERROR ORGANIZATION
Ansaru: AN ISLAMIC TERROR ORGANIZATION
Jemaah Islamiyah: AN ISLAMIC TERROR ORGANIZATION
Abdullah Azzam Brigades: AN ISLAMIC TERROR ORGANIZATION",OAG
13,moro,"Good Job, these <ng>moro</ng>ns need to be taught a lesson.",OAG
14,moro,^Bengali <ng>moro</ng>n,OAG
15,moro,"Rajkumar Panthoiren Only for <ng>moro</ng>nic idiots like you, I wish u were born in cambodia and were killed by communists like they did with 1/3rd of population, that too with sticks and machette would have been fun to watch u defend marxism then.",OAG
16,moro,<ng>moro</ng>ns like you are the product of incest and inbreeding among cousins,OAG
17,moro,"Worst is when you see non Pakistanis giving the laugh emoticon for this article. Shameful people!! Even when this happens to Pak Army it is a disgraceful and utterly cowardly act!! Don't worry laughing <ng>moro</ng>ns, this week has not ended, porki army corpses will be served hot soon",OAG
18,moro,"Please go to ur prime <ng>moro</ng>n who stays in Pak , and don't interfere in the work of our Honorable PM.",OAG
19,moro,"Dude, go back to spelling class <ng>moro</ng>n, I spelt kujliwal",OAG
20,diot,"Now this i<ng>diot</ng> realises truth after being slave of a Single family rule , who destroyed our nation all these years !!!!!!!!!!!!!!!!!",OAG
21,diot,This guy doesn't know previous SP govt n its leaders r full of goons ....i<ng>diot</ng>,OAG
22,diot,THIS I<ng>diot</ng> DOESNOT KNOW THAT PRESIDENT IS FAR MORE STRONG THAN ANY OTHER FORM OF RULE.,OAG
23,diot,Some Rascals r deaf n blind in after the hearing fact in this video n proof given by Modiji. I<ng>diot</ng>s jus watch n understand if u find him gulity in any proof given by him SUE MODIJI.,OAG
24,diot,That's what you Congress i<ng>diot</ng>s were doing for six decades.you fool this is time for action.Better if you keep your mouth shut.,OAG
25,diot,Fahad such an helpless i<ng>diot</ng> you are you need doctor,OAG
26,diot,You sd take care of Farah khan who is out of ur hands i<ng>diot</ng>.Children are not allowed to tweet over political issue,OAG
27,diot,"I<ng>diot</ng> gadhe,  buy all the cows in India n keep it safe in your home..instead,  If u come to my place n try to stop me when I cut my cow for beef biriyani,  I'll cut your cock too.. Mind it",OAG
28,diot,People of Kerala will give befitting reply to these BJP i<ng>diot</ng>s. They Are wise than other northern States,OAG
29,diot,It is shame some MP are not suitable for parliament they only come to be elected for filling their pockets and i<ng>diot</ng>s are paid for doing nothing.,OAG
30, fuc,U bloody<ng> fuc</ng>kstain just wait & watch u kill 2 our respected soldiers now time has to killed 200 ur gays soldiers,OAG
31, fuc,Lol<ng> fuc</ng>ked up fake news.. why ABP news so desperate for TRP..Showing some old video of some other country,OAG
32, fuc,Hello sir I have a question  ?  Why media play with the   our soldier   life. This<ng> fuc</ng>king congress  always  bring obstacle  in the process.  I have only one words to says give freehand to our soldiers  and media provide  clue abut the places. Then there will  be a solution.,OAG
33, fuc,Opposition  shut your <ng> fuc</ng>king mouth  . And prove your self that you are speaking   for the benefit  of India not against   India.,OAG
34, fuc,He is doing for his country men. Immigrants are secondary. Syria was a<ng> fuc</ng>k up. But on domestic side he is doing well. Illegal crossing has decreased. Business are going to US. He is doing well.,OAG
35, fuc,Politicians made india worst plce to live.all those illetrate and old retard<ng> fuc</ng>ks need to be kicked out of the higher politics,OAG
36, fuc,Buddy  vikram we have lot of international friends dont worry about pak. Do some thing to  clean india 60% without toilet nation<ng> fuc</ng>...k,OAG
37, fuc,Why the<ng> fuc</ng>k is everyone bothering about IIT. Work hard if you want to get the<ng> fuc</ng>king admission in IIT and there are people who do even better then iitians...haa hai chutiye iitians Jo sochte hai ki they are better then everyone else,OAG
38, fuc,"anybody from pak now in India, arrest them even the foreign affains rep from that<ng> fuc</ng>king place",OAG
39, fuc,Sir very badly  I am Indian ex-serviceman my time my unit  24 RR<ng> fuc</ng>kking   pakestan post,OAG
