,NAG_neg_coef,NAG_neg_ngram,NAG_pred_coef,NAG_pred_ngram,CAG_neg_coef,CAG_neg_ngram,CAG_pred_coef,CAG_pred_ngram,OAG_neg_coef,OAG_neg_ngram,OAG_pred_coef,OAG_pred_ngram
0,-2.508811819050833,ker,2.9629869157496733,: ,-7.051037847550795,: ,6.82651482337638,is ag,-27.13780552863053,or pa,41.01390060478664,upid
1,-2.4675343185374703,sonu,2.6357108779912,-,-6.7337419957391145,e mod,6.491586879101349,t re,-21.257863026736242,clo,32.70223748708107, fuc
2,-2.3139097701191305, lol,2.5368140837171684,nice,-5.9064871104905725,ws. ,6.253795181331926, anna,-19.142381230044432,rge ,32.43681892573073,diot
3,-2.3100416737370915,sl,2.47456937239158,y o,-5.6593615079790585,bal,5.992589719926343,e whe,-18.920274902115487,n sa,31.554473838823927, hell
4,-2.2902015204067983,cow,2.427696376308979,i,-5.654763908823056,ess m,5.847023291271964,r peo,-18.658749098079962,n min,30.331882614204563,moro
5,-2.255200124013397,onu,2.4061285210233847, ?,-5.573232836728405,c ,5.67111536150313,wh,-18.298794438971203, dh,30.18299438632948,ocess
6,-2.2174694176354617,stu,2.299420830748713,anuj,-5.5503859382188505,es he,5.639611276353035,m wil,-18.21689109073772,ose w,28.940748021150124, bjp'
7,-2.2059673517105773,idi,2.299420830748713,nuj,-5.3662823546401865, is p,5.439631366841709, lol,-17.955765465257752,grea,28.18161131315624,wors
8,-2.1652732413679527,sham,2.2547049843656186, am,-5.355627015502985,por,5.4396302926425895,re bu,-17.74196839469015,spa,27.876595656218722,ot ab
9,-2.127059520421867,i n,2.2233822358292343,8,-5.322446138844687,ews. ,5.403394904710103,s?,-17.609431067081314,ovi,27.345018539167103,fool
10,-2.0421357266366145,id,2.218719006831647,te to,-5.2565699048038885,l the,5.291600321764392,ag ,-17.48835740539927,n dr,25.6990082225995, brai
11,-2.041561757021352,ut,2.1473361565400637, pos,-5.246460732651341,n and,5.288297120754797,s rig,-17.208628139927182,w no,25.560037899760182,ada 
12,-2.031405928749722,rs,2.0950901926828536,3,-5.159461708909224,3,5.2515000193546895,eed!,-16.64689942947441,aith ,24.697538306575343,"n, r"
13,-2.021194932395387,ham,1.995689611037196,tata,-5.104558889822876,st ,5.2515000193546895,reed!,-16.459995681179034,test ,24.602049884550233,porki
14,-1.9949376451815368,gi,1.9656041093852752,th m,-5.0776190039225115,ho,5.235566557873824,sion ,-16.43586551241877,hanc,24.192296023410048,shit
15,-1.9792766758825504,sic,1.9508097962933872,ata,-5.0503783358427405,she i,5.174882212447388,ity t,-16.36711531438096,istr,24.084088289974783,sham
16,-1.954848856297229, cow,1.948323494132173,vie,-4.993827125536145, pos,5.146775746311965,e als,-16.31294557266419,good,23.49879273482099,y. ha
17,-1.952455928861929,nu ,1.946789726632569,n and,-4.946448460635036,less ,5.0813974947515135,od so,-16.180047772304462, or b,23.23139752784253,jh
18,-1.9200899572112688,dio,1.9297656898223845, tata,-4.938244628421162,gr,5.067552197815289, ann,-16.158557602819574,hard,22.910481989392196,t nev
19,-1.91583037142859,s.,1.9148692823287121,i ,-4.902188360544328,y o,5.05458263222376, is c,-16.085020596967738,be u,22.823958905207444,irty 
20,-1.9145073880031525,is in,1.9015592542927928, tat,-4.88052925027392,ut ma,5.0118911417144165, god ,-15.982835895121706,ns n,22.70425842002021,an 5
21,-1.914480552426751,era,1.894948162597972,uj ,-4.860846215356301,ies ,5.0062812132752015,r,-15.896029311949732,ian f,21.947791211524443,tute
22,-1.9088970483727388,ot,1.8778655629832373,anuj ,-4.799271743934471,uj,4.996759697024473,en m,-15.888167165348623, stoc,21.78535778707509,wif
23,-1.903947575343324,ak,1.8778655629832373,nuj ,-4.781901459617785, it b,4.915030685975654, is o,-15.88396296426968,ck w,21.404814418920772,reedy
24,-1.8899542228114488,an ex,1.862212512090326,c ,-4.7798735911675685,ries,4.896697704835843,o mo,-15.856013122990221,a h,21.103983062916477,e a p
25,-1.8706807543923845, men,1.8429162809404072,great,-4.777184588513947,l sur,4.893578788142615, wh,-15.815764492064217,mr.,21.102850797281068,dumb
26,-1.860473218493624,ey,1.83406616547456,@,-4.752143360780914, ?,4.880885490312979,ion d,-15.412035177157968,n. c,20.58263085369429, bc 
27,-1.852908968656464,og,1.8106966178170367,ries,-4.728077949162484,ale,4.864905135244405, or t,-15.17798741723429,its h,20.471435132634088, reta
28,-1.8261034331139607,e wan,1.7744193483385964,coo,-4.721077008967741,fake ,4.853047313280327, r,-15.018573072306657,ag ,20.337468134503258,ds!
29,-1.823242486388429,bur,1.7732692292829777,grea,-4.700256711409397,k h,4.85294590560591,ue.,-15.013351386592197,lso n,20.22648429715276,arab
