,NAG_false_negative_idx,relative frequency
3972,9553.0,0.000650133198021058
99,241.0,0.000650133198021058
3114,7478.0,0.0006422047443866548
4821,11474.0,0.0006422047443866548
2517,6056.0,0.0006263478371178485
897,2120.0,0.0006184193834834453
2447,5882.0,0.0006184193834834453
4495,10725.0,0.0006104909298490423
2149,5127.0,0.0006104909298490423
1782,4253.0,0.0006025624762146391
2192,5219.0,0.0006025624762146391
4008,9613.0,0.000594634022580236
406,972.0,0.000594634022580236
1048,2494.0,0.0005867055689458328
2068,4961.0,0.0005867055689458328
3011,7234.0,0.0005867055689458328
1292,3090.0,0.0005867055689458328
2861,6901.0,0.0005787771153114296
739,1748.0,0.0005787771153114296
4822,11475.0,0.0005787771153114296
3673,8753.0,0.0005787771153114296
4380,10491.0,0.0005708486616770265
204,491.0,0.0005708486616770265
173,419.0,0.0005708486616770265
1496,3568.0,0.0005708486616770265
1559,3707.0,0.0005629202080426233
1263,3029.0,0.0005629202080426233
3832,9200.0,0.0005549917544082203
2076,4979.0,0.0005549917544082203
2261,5412.0,0.0005549917544082203
2545,6140.0,0.0005549917544082203
2027,4863.0,0.0005470633007738171
5033,11989.0,0.0005391348471394139
1627,3849.0,0.0005391348471394139
307,733.0,0.0005391348471394139
515,1211.0,0.0005391348471394139
2024,4858.0,0.0005391348471394139
3594,8587.0,0.0005391348471394139
3330,7975.0,0.0005391348471394139
2739,6607.0,0.0005312063935050108
1170,2775.0,0.0005312063935050108
1014,2402.0,0.0005312063935050108
2672,6445.0,0.0005312063935050108
4245,10171.0,0.0005232779398706076
3794,9100.0,0.0005232779398706076
1524,3624.0,0.0005232779398706076
2180,5194.0,0.0005232779398706076
2530,6086.0,0.0005232779398706076
4998,11911.0,0.0005232779398706076
966,2286.0,0.0005232779398706076
2701,6525.0,0.0005232779398706076
3087,7411.0,0.0005232779398706076
3681,8769.0,0.0005153494862362045
1000,2367.0,0.0005153494862362045
1853,4439.0,0.0005153494862362045
1550,3679.0,0.0005153494862362045
1117,2646.0,0.0005153494862362045
3811,9149.0,0.0005153494862362045
1349,3248.0,0.0005153494862362045
424,1015.0,0.0005153494862362045
175,422.0,0.0005153494862362045
1418,3399.0,0.0005153494862362045
3883,9324.0,0.0005074210326018013
1099,2616.0,0.0005074210326018013
1672,3970.0,0.0005074210326018013
5015,11956.0,0.0005074210326018013
4288,10256.0,0.0005074210326018013
3879,9318.0,0.0005074210326018013
3532,8444.0,0.0005074210326018013
858,2012.0,0.0005074210326018013
2903,6994.0,0.0005074210326018013
1919,4589.0,0.0004994925789673981
2807,6770.0,0.0004994925789673981
3525,8432.0,0.0004994925789673981
1562,3713.0,0.0004994925789673981
929,2194.0,0.0004994925789673981
2168,5166.0,0.0004994925789673981
1789,4269.0,0.0004994925789673981
2471,5928.0,0.0004994925789673981
3511,8391.0,0.0004994925789673981
2191,5217.0,0.0004994925789673981
1180,2799.0,0.0004915641253329951
