,ngram,comment,label
0,omose,H<ng>omose</ng>xuality is ban,GEN
1,omose,"Very good... throw out these h<ng>omose</ng>xuals out of India... bloody rouge.. bloody
SC deteriorating Indian culture... bann the SC first... bloody old gay
judges...",GEN
2,omose,"no one is h<ng>omose</ng>xual by birth, their is no scientific or genetic proof. :) it
arises when people get tired of the natural process. And this is basically
because of the arising pornography and vulgarity that is openly viewed and
displayed and majority are prone to it so when they grow tired of the nature,
they tend to find pleasure in something that goes against nature. So we need
to support good and decent content on media and promote early marriages to
abstain from this taboo. And ofcourse this h<ng>omose</ng>xuality is a sign of the day
of judgement as we Muslims believe so we need to seek forgiveness and thank
Allah for His blessings.
[#freedomofspeech](http://www.youtube.com/results?search_query=%23freedomofspeech)
:) good day",GEN
3,omose,"First of all h<ng>omose</ng>xual is a demonic spirit ... And also it's against the rule
of nature....",GEN
4,omose,"H<ng>omose</ng>xuality : is it natural ?[困]

Not to condemn no people, but to reclaim the fallen from this practice, is
believing that you can be changed from that stage into a better stage ,to say
that we will leave this one off & take the other, who are we to pass that kind
of judgment on our brothers & sisters .

The Question that should be asked is,
where did this perversion of this deviation come about ?

Cause when God created this universe & everything in this universe to obey Him
& His law , the sun obeys the law under which it is created ,the moon ,the
stars , this planet earth obeys the law of its creation. and what we see in
the creation is no ,creature deviates from the law under which it is created.
The planet moves in its orbit not disobeying the law not even , one fraction
of a second & astronomers can bear this witness .

i dont care where you find, an ant , a bee , a fowl , a fish. They all obey
the nature in which they are created, men is not created to deviate from a
certain nature in which he is created.

the planet earth is created to incline to the plain of its orbit 23°c ,30
minutes ,The planet inclines to the plain of its orbit, this is a natural
inclination or leaning.

Man by nature is inclined towards the female & the female by nature leans
towards the man.

Now i want to know ,where did this , deviation come from?

it was not until a man that was made years ago ,from the original man ,made
opposite to the nature of the natural man, made to deviate from the natural
way of God & man ,made an opposser of the natural way & deviates from the
natural course, His whole life style will be a deviation.

The Bible clearly says ,he changed the ""TRUTH"" of God into a lie & when you
pervert the truth of God & make it a lie ,than what follows from that is a
system of perversion of deviation. we didn't have brothers in Africa walking
around with broken wrists .

since people were taught and learned of this behavior we can un-learn this
behavior.

Scripture says ""as a man thinketh so is he "" if you make a man to think like a
woman ,We have seen that ""Thought"" is so powerful it projects itself totally
on the man's brain & it begins to reshape the material so that a man ,who
thinks like a woman , his face, his features, his movements everything about
him begins to change according to his thoughts.

So scripture says "" behold I the sovereign Lord, make all things new"" so we
must get ride of the deviation and bring man back into the natural order in
which he is created & the only way to do that is to place in mans brain a new
thought & that new thought will bring up a new idea and that new idea will
reshape the ""matter"" of the man ,change the form of the man & change the
expression of the man.

There is no such thing as a h<ng>omose</ng>xual that cannot be changed ,there is no
such thing as a ""lesbian"" that cannot be changed, God is here to change us all
up ,into a new growth & bring us back to the natural order in which we were
created.",GEN
5,omose,"H<ng>omose</ng>xual as I saw in buses and movies.... Clapping and dancing. Its not for
Army. Army represent our country and I m with General Sir.",GEN
6,omose,"I am an h<ng>omose</ng>xual person and proud to be on my h<ng>omose</ng>xuality !  
According to indian constitution we have three genders and h<ng>omose</ng>xuality is
legal in India so if someone is saying NO to h<ng>omose</ng>xuality or transgenders
this means they are not obeying the indian constitution.  
  
I was NCC cadet and when we are in NCC we get a news that army officers or
soldiers sometimes they sexually abuse to girlish or an innocent I am the
witness I saw this and heard during the NCC period.  
Next I have made physical relationship with men who were or still they are
working with defence forces. So no one can come forward and say that in
defence we have no h<ng>omose</ng>xual. There are but they are in closet.  
Second there are many news where soldiers abused or physically harassed girls
so no one can say that if h<ng>omose</ng>xual will join defence so they will tease the
or harass the straight soldiers.  
  
H<ng>omose</ng>xual people are normal they are not prostitute who need Sex all the
time.  
  
Please don’t respect transgender and h<ng>omose</ng>xual people if you don’t want  
But at least respect your constitution who legalised them  
  
  
  
According to Ramayana  
Ram god said kalyug May hijaray Raj karenge  
  
  
  
God bless you all from your h<ng>omose</ng>xual brother",GEN
7,omose,"Why are we running behind the West. Although I'm neutral on h<ng>omose</ng>xuality I
find it so sad, it makes me so sad to see my people say accepting
h<ng>omose</ng>xuality takes them towards development and modernity. We should not try
so hard to fit in the west. We are Indian, we should stand back to our own
culture. P.S we are ex British colony so my education was always of English so
I prefer to write in English.",GEN
8,omose,"Hinduism is one of the most liberal cultures in the world. There are numerous
h<ng>omose</ng>xual encounters even in the puranas and a detailed accounts of same sex
relationsips. Such as that of Agni and Soma(moon lord). It's shch a shame that
these fundamentalists and propogaters of Hindutva(Bhajrang Dal, RSS etc) have
irresponsibly misinterpreted and appropriated them by relying on the
conservative manipulation of ancient indian texts such as the British. Going
by there own narrative..these bastards are in fact the true ""Anti
Nationals""(Hindutvavadis). They have contaminated the real plurality and
diversified ideals of our culture.",GEN
9,omose,"allowing h<ng>omose</ng>xuals in army is like playing with poisonous snakes , u might
not know when they will bite u. ( I believe if h<ng>omose</ng>xuals allowed in army
they will become enemies of India.)",GEN
10,mose,Ho<ng>mose</ng>xuality is ban,GEN
11,mose,"Very good... throw out these ho<ng>mose</ng>xuals out of India... bloody rouge.. bloody
SC deteriorating Indian culture... bann the SC first... bloody old gay
judges...",GEN
12,mose,"no one is ho<ng>mose</ng>xual by birth, their is no scientific or genetic proof. :) it
arises when people get tired of the natural process. And this is basically
because of the arising pornography and vulgarity that is openly viewed and
displayed and majority are prone to it so when they grow tired of the nature,
they tend to find pleasure in something that goes against nature. So we need
to support good and decent content on media and promote early marriages to
abstain from this taboo. And ofcourse this ho<ng>mose</ng>xuality is a sign of the day
of judgement as we Muslims believe so we need to seek forgiveness and thank
Allah for His blessings.
[#freedomofspeech](http://www.youtube.com/results?search_query=%23freedomofspeech)
:) good day",GEN
13,mose,"First of all ho<ng>mose</ng>xual is a demonic spirit ... And also it's against the rule
of nature....",GEN
