,NAG_neg_coef,NAG_neg_ngram,NAG_pred_coef,NAG_pred_ngram,CAG_neg_coef,CAG_neg_ngram,CAG_pred_coef,CAG_pred_ngram,OAG_neg_coef,OAG_neg_ngram,OAG_pred_coef,OAG_pred_ngram,GEN_neg_coef,GEN_neg_ngram,GEN_pred_coef,GEN_pred_ngram
0,-35.647070703027396,itch,21.68879561266284,stur,-89.27172407095058, ,88.51171845625177,ne ma,-40.01108646975864,ll s,60.23350779316669,d har,-33.63605718098678,i,61.83969885148276,randi
1,-31.034815092092828,ne ma,19.75614215151709,"nd
",-60.965874735431754,he o,73.07393329463001,gence,-33.52448233720309,give ,58.46618844695274,a dam,-31.108308465429666,ov,58.630855236270335,bitch
2,-27.81988190202904,hut,19.68947706167541,e bes,-56.37468207780339,sur,72.59536670826118, try,-31.483632612802058,er th,58.30995158946404,orist,-30.625776635790988,kind ,53.811615861836955,ee wh
3,-25.14125333551065,od is,19.16802987576411,f d,-48.91800736427123,e rea,70.00991110074867,nk it,-30.97585668558297,lf fe,51.109519736444646,g sex,-29.615532197089863,ree ,49.32927881263153, kut
4,-23.612663736997646,ped,18.494273857546183,as th,-48.05377227759159,f d,68.87452791540495,m suc,-29.41110833990688,s,50.01727751829434,i ma,-28.951657890548862,ion,47.67149098546151,bc
5,-22.49068142059628,r par,17.359608330241773,tched,-45.65543560526077,ive a,67.91531784938915,eal c,-28.015420488021878, at ,48.23726929524626, mc,-28.05405487707757,t li,45.746322306436056,sex
6,-21.11446105476839,ister,17.272087800027357,bat,-45.58856736745288,st th,67.10785225473201,", ci",-27.988101429353172,s in ,48.17629605706047,st na,-26.854244156847003,i lik,45.3997369144489,so is
7,-20.806255053303573,badly,17.045494532226588,ctive,-43.026305499448455,"
con",65.39108992121228,=,-27.983867785057463,ree ,47.54731027550176,at ho,-26.376595677819004,i f,45.3935850570281,orn 
8,-20.651158803266746,sts ,16.405205562558407,👍,-42.43401726386529,h h,65.3228324520937,ted a,-26.3590105174259,uni,47.48592978011047,ct wo,-24.210141949326832,m gay,43.645301601261174,stitu
9,-20.096880186357645, k ,15.108816840666025,shw,-41.11022124471828,"nd
",59.748891233291644,badly,-24.655544229469157,ho i,47.4210343972111,itch,-22.747403391191785,e lo,40.16893873179535,ly ex
10,-19.079905864501935,kut,14.675325043638566,le o,-40.05426687429766,al b,56.934029017112245,of r,-24.547619821616568,ome ,43.315930944454315,andu,-22.47931266159737,s,40.08376841047055,mc
11,-18.891607095679017,d har,14.586099533330176,ala ,-38.55392663201477,d the,56.74548936757829,sag,-24.120748761608876,l,41.578312681506034,ace o,-22.32602791073533,tim,39.82045364058798,itch
12,-18.70159449279213, ter,14.510443656527984, is i,-38.05454586141134,oth ,56.382525490207655,", bu",-22.859093732357174,u w,39.91979209405199,sla,-21.99420154210992,"
i",39.07327516878481,rae
13,-18.30102161701562,als p,14.479005667002625, pl,-37.001518376928736,sa,55.43486068992367,'s d,-22.28515297578304,. su,39.43915630853068,"
a r",-21.156595001001044,o,39.06307568355029,eun
14,-18.25783928082688,sham,13.846765100862756,s,-36.94250610439822,ie s,55.22102446934577,h la,-21.992326642572497, mod,38.82471974425221,"
k",-21.042769968764595, sto,38.29619005084784,pros
15,-17.893281279745235,ted a,13.819365576607266,give ,-33.99283213637118,aks,55.04202126391244,ed. o,-21.891917251043267,s aru,38.67563068657924,ord f,-20.098198699923465,or s,37.09596833639025, k 
16,-17.852904653453262,ott,13.722013054202082,e giv,-33.863071711131816,ad a,54.89482256377699,als p,-21.719252637526754,iled,38.65840637857568,ge bo,-20.030279052942227, bol,36.90448785666766,e rap
