,ngram,comment,label
0,diot,"Your retarded bot 

Your bot is entirely automated, that is wrong.  You should not leave an unattented script just running through the site like that, it is i<ng>diot</ng>ic of you to suppose that your scripting abilities are so perfect that they will only ever make proper edits.  Banning me doesn't help anything, dipshit, since I have as many IPs as I want.",insult
1,diot,"Hebrew Name of Lydia 
Appologies to Til Eulenspiegel I thought you were one of the i<ng>diot</ng>s which your user page indicates you actually do well struggling against. 
Genesis 10:יג  וּמִצְרַיִם יָלַד אֶת-לוּדִים וְאֶת-עֲנָמִים, וְאֶת-לְהָבִיםוְאֶת-נַפְתֻּחִים.TAB13 And Mizraim begot Ludim, and Anamim, and Lehabim, and Naphtuhim,
You see Ludim are from Mitzraim not to be confused with Lud son of Shem (in the far east).
Best wishes and keep up the good work.81.103.121.144",insult
2,diot,Hey i<ng>diot</ng>. I'm simply verifying the TRUTH. Mobile17 was NOT the first to have a ringtone maker online.. Brinked was. Do some fucking research before you remove my shit. Tired of you assholes removing my hard work I'm putting into making wikipedia a relevant page.,insult
3,diot,"I'm sorry that I must say this. I have never come across a more i<ng>diot</ng>ic editor on Wikipedia. Congratulations on making it to the top of my list. I mean that in a congratulatory sense entirely; in no way is it meant to offend or sound sarcastic. I wouldn't call you an editor though. You're more of a pollutant to this project and one with extreme perversion of perception. Please reread the discussion at the talk page. Based on what you last posted there it is painfully obvious that you ignored, or did not comprehend, much of what I tried explaining to you multiple times at that talk page.",insult
4,diot,"I know that's not mature. And anyway, that was my cousin, I went to the bathroom, and he got on for awhile and was being an i<ng>diot</ng>. So don't talk to me like I did anything for I am Zod and I can break you, so leave it.",insult
5,diot,The Greater San Francisco Bay Area is greater than the typical Bay Area Definition you i<ng>diot</ng> stop reverting my edits until YOU have sources obviously like every other metro area a greater region is obviously bigger you i<ng>diot</ng>. Go shove your internet awards some where because they dont matter when all you do is type on a key board.,insult
6,diot,I HATE DRMIES!! HE IS AN I<ng>diot</ng>!!!,insult
7,diot,"I<ng>diot</ng> is  what i<ng>diot</ng> does
202.92.40.8",insult
8,diot,"Well well well 
You've just done the most stupid thing saying we have always been enemies. Now that proves you've been doing these edits just to try and piss me off. You can make up bullshit stories but I know the truth. So basically what I'm trying to say is fuck you. Hell I don't mind getting banned for saying that I'm leaving this account and won't be back wasting my time with an i<ng>diot</ng> like you on here, hating people for no reason. It's a shame people like you give wikipedia a bad name. And I won't be making up bullshit stories like you did saying you had left while you were under an IP the whole time. Thanks",insult
9,diot,"""
 lol! let the porky make a fool out of himself. i also suspect that he is infact using socks himself. follow his edits, and note the right-wing i<ng>diot</ng>s who supports him. """,insult
10, moro,"You should be fired, you're a<ng> moro</ng>nic wimp who is too lazy to do research. It makes me sick that people like you exist in this world.",insult
