,ngram,comment,label
0, fuck,"You are gay or antisemmitian? 

Archangel WHite Tiger

Meow! Greetingshhh!

Uh, there are two ways, why you do erased my comment about WW2, that holocaust was brutally slaying of Jews and not gays/Gypsys/Slavs/anyone...

1 - If you are anti-semitian, than shave your head bald and go to the skinhead meetings!

2 - If you doubt words of the Bible, that homosexuality is a deadly sin, make a pentagram tatoo on your forehead go to the satanistic masses with your gay pals!

3 - First and last warning, you<ng> fuck</ng>ing gay - I won't appreciate if any more nazi shwain would write in my page! I don't wish to talk to you anymore!

Beware of the Dark Side!",insult
1, fuck,"you are a stupid<ng> fuck</ng> 

and your mother's cunt stinks",insult
2, fuck,u r a tw@<ng> fuck</ng> off u gay boy.U r smelly.Fuck ur mum poopie,insult
3, fuck,this user is such a worthless goddamn faggot<ng> fuck</ng> you faggot,insult
4, fuck,"""

 Fuck you 

  Fuck you award go<ng> fuck</ng> yourself   """,insult
5, fuck,"Thank you for your RACIST experimenting with the page Katherine Heigl on Wikipedia. Your test worked, and it has been reverted or removed. Please use the sandbox for any other tests you may want to do. Take a look at the welcome page to learn more about contributing to our encyclopedia. Now go FUCK YOURSELF YOU RACIST CANUCK ASSHOLE1  U HAVE NOTHING BETTER TO DO THAN CENSOR THE TRUTH U GODDAMN KKKKANUCK PIECE O TRASH///  DICKHEAD MORON MOTHERFUCKER111LOL  YOU CANUCKS R REAL RETARDS1  FUK OFF DICKWEED!  EDIT ANOTHER 1 OF MY EIDTS AND YOU'LL BE EXPEL FROM WIKI BY JIMBO YOU SOB DICKHEAD11 
SO WATCH IT MOFO PIECE OF GARBAGE RACIST MOFO ASSHOLE.  IM TRYINBG TO BE NICE HERE SO TAKE WHAT i SAY AS A COMPLIMENT!Yamla",insult
6, fuck,I NEVER FUCKING MADE THIS MOTHER FUCKING ARTICLE I JUST FUCKING EDITED IT AND THAT WAS A FUCKING LONG TIME AGO FUCKING ASSHOLES! PISSING ME OFF @,insult
7, fuck,"Hi 

Im a<ng> fuck</ng>ing bitch.

50.180.208.181",insult
8, fuck,What a motherfucking piece of crap those<ng> fuck</ng>heads for blocking us!,insult
9, fuck,Are you<ng> fuck</ng>er mother<ng> fuck</ng>er have nothing to do but block University computers. Go and suck cocks,insult
