,ngram,comment,label
0,kill ,"I'm also a sock puppet of this account...SUPRISE!!
-sincerely,
            The man that will track you down from the Internet and <ng>kill </ng>you",threat
1,kill ,Whoever put a notices on my page. I will <ng>kill </ng>u,threat
2,kill ,"Aaron Swartz 

Stop fucking reverting my goddamn edits!!! I think Aaron Swartz is a dumb-ass, and he should have been
killed a long time ago.  I know where you live; I WILL KILL YOU IF YOU REVERT ANY MORE PAGES!!!!!",threat
3,kill ,"Go <ng>kill </ng>yourself 

You should be ashamed of yourself. Twoofers like you are scumbags that deserve to die. You anti-scientific assholes are destroying America.",threat
4,kill ,"WHAT'S WRONG WITH YOU?
GO KILL YOURSELF, YOU VILE CREATURE!!!!!!!!!!!",threat
5,kill ,"mothafucka! 

You son of a bitch, shup up!

otherwise I will <ng>kill </ng>you!",threat
6,kill ,"""
 Ain't bothering me, I'm not required to sign my posts/edit. I didn't specifically threaten anyone and your blowing it out of control. It was a snide comment. If I said """"I'm going to <ng>kill </ng>him in a fire"""" thats different; saying """"I'm going to church to pray that he gets cancer or dies in a fire"""" is more of a sarchastic tone. Pity you can't see that. No matter. Bump it up to 2 weeks now, just cause you can. """,threat
7,kill ,EVERYONE WANTS TO KILL BILL GOD DAM GATES HE IS A NERD WHY NOT.??,threat
8,kill ,I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going to murder you. I am going to <ng>kill </ng>you. I am going t,threat
9,kill ,Fuck you Sarcasticidealist i will <ng>kill </ng>you with my gun as well bitch ass motherfucker}},threat
10,u die,"Fuck you, Smith. Please have me notified when yo<ng>u die</ng>. I want to dance on your grave.",threat
11,u die,"Demonte Morton 

U bastard stop deletin' my shit u white trash cracker muthafucker. Fuck u u racist bitch. I hope <ng>u die</ng>.",threat
12,u die,"To Huldra 

I sincerely hope yo<ng>u die</ng>. 124.180.167.228",threat
13,u die,"""
Wow, you're the one commenting on how users commenting on the page are """"drooling retards"""" and you try to drop this courtesy C&P; on me? You're just as pathetic as you've always been and I hope yo<ng>u die</ng> in a jizz fire.""",threat
14,u die,"You're a stupid cunt 

Fuck you dumb arse, your mum has a hairy cunt and I hope and pray that yo<ng>u die</ng>, no, fuck that, I wish you would die, if I had three wishes, one of them would be to have you dead, and the others would be so that everyone you knew hated your cunt like face.",threat
15,u die,"You fucking chink, i hope yo<ng>u die</ng> of cancer like your grandmother did. fucking jack off, get the fuck off the internet.",threat
16,u die,FUCK YOU!!!!!!!!!!!! YOU FUCKING NIGGER BAG OF SHIT I HOPE YOU DIE IN A HORRIBLE FIRE WITH YOUR GAY ASS KIDS I WILL SLIT THEIR THROAT YOU MOTHERFUCKER DONT YOU EVER THINK OF BANNING ME AGAIN OR I WILL RAPE YOU ANALLY!!!!!,threat
