,ngram,comment,label
0,fuck,"You are gay or antisemmitian? 

Archangel WHite Tiger

Meow! Greetingshhh!

Uh, there are two ways, why you do erased my comment about WW2, that holocaust was brutally slaying of Jews and not gays/Gypsys/Slavs/anyone...

1 - If you are anti-semitian, than shave your head bald and go to the skinhead meetings!

2 - If you doubt words of the Bible, that homosexuality is a deadly sin, make a pentagram tatoo on your forehead go to the satanistic masses with your gay pals!

3 - First and last warning, you <ng>fuck</ng>ing gay - I won't appreciate if any more nazi shwain would write in my page! I don't wish to talk to you anymore!

Beware of the Dark Side!",toxic
1,fuck,"<ng>fuck</ng> YOUR FILTHY MOTHER IN THE ASS, DRY!",toxic
2,fuck,GET <ng>fuck</ng>ED UP. GET <ng>fuck</ng>EEED UP.  GOT A DRINK THAT YOU CANT PUT DOWN???/ GET <ng>fuck</ng> UP GET <ng>fuck</ng>ED UP.  I'M <ng>fuck</ng>ED UP RIGHT NOW!,toxic
3,fuck,=Tony Sidaway is obviously a fist<ng>fuck</ng>ee. He loves an arm up his ass.,toxic
4,fuck,"My Band Page's deletion. You thought I was gone. 

Deleting the comment I posted on your 'talk page' does not delete my feelings for your hasty decision to delete my page. You, sir, are still a cock-sucking douche <ng>fuck</ng>. Sit back for a second and think about what your life has become. ............ Done? That didn't take long did it? Nope. Because, as I am most certainly aware, your life is a shitstorm of sitting in front of the computer masturbating to fictional creatures. Your attempts to get rid of me are mediocre at best. You are constantly sucking the dick of failure. You don't want a personal attack, huh? Well, too bad, <ng>fuck</ng>cock McDickerson. You've got one. From me. You can go ahead and delete my profile from wikipedia. I'll just make another one and come right back to 'Syrthiss's talk page and insult the dick off of you. How could you shatter the dreams of an innocent eighteen year old college freshman trying to make a name for his band. Does that make you happy? <ng>fuck</ng>ing with people because you're an overweight, single, old man in a dead-end job. Did you spot that perhaps someone else was going to follow his dreams and you were trying to hold him back so somebody else could suffer like you? Yes you did. I don't make empty threats, so I won't be saying anything along the lines of 'i'll hurt you' or 'i'll eat the children from within your sister's womb', but I will say that you are a asshole, son-of-a-bitch, mother <ng>fuck</ng>ing cock sucker. So, go eat some more food and drown your sorrows you premature ejaculating, bald headed <ng>fuck</ng>.

You should do something nice for yourself, maybe go grab a couple of Horny Goat Weeds from your local convenience store and jack off for a little longer than three minutes tonight.

Sincerely,
An Asshole That's Better Than You In Every Way.",toxic
5,fuck,"you are a stupid <ng>fuck</ng> 

and your mother's cunt stinks",toxic
6,fuck,"<ng>fuck</ng> you, block me, you faggot pussy!",toxic
7,fuck,"Burn Deck 

If that'd guy's burn deck is like what I think it is than he is in for a blrude awakening!!! Leviathan mother<ng>fuck</ng>er!!!",toxic
8,fuck,u r a tw@ <ng>fuck</ng> off u gay boy.U r smelly.<ng>fuck</ng> ur mum poopie,toxic
9,fuck,this user is such a worthless goddamn faggot <ng>fuck</ng> you faggot,toxic
10,diot,"Your retarded bot 

Your bot is entirely automated, that is wrong.  You should not leave an unattented script just running through the site like that, it is i<ng>diot</ng>ic of you to suppose that your scripting abilities are so perfect that they will only ever make proper edits.  Banning me doesn't help anything, dipshit, since I have as many IPs as I want.",toxic
11,diot,"""You know, I was thinking...

Nobody really attacked me before I revealed my age here.  After I announced that I was 14, I was subject to a constant storm of harassment and abuse.

The same thing goes for when I was on The Sandbox when I was 11.  Before people knew my age, they didn't care.  After I told them my age, they hated me.

It's just so amusing how the i<ng>diot</ng> Soapboxers think of teenagers as being responsible for the """"decline"""" of The Soapbox (like it was ever any good to begin with).  This is funny, because the adults are the dumbest people here.  Mauricio, Chuppah, Redneckgirl, Pinky, Scooby, GG, ForeverLostTinkerbell, greenrabbit, StarRocketsInFlight, Bree-Robinson, enigma-72, CocaineNightmares, TokyoDome, Chad_Ocho-Cinco, Steve Lake...

...all adults.

The teenage posters here are typically the smartest ones.  Let's see... G-Dawg, Head_Banging_Brunette, ClassicAge, Metropolis (even though he's a bipolar weirdo), ChrisScript, just to name a few.

All I ever see adults posting is """"rate my poo!!1!"""", """"my ballz smell funny"""", """"whoz hawter: me or ur mom???//?/?"""", """"i like to rape little girls"""", and """"HEY GUYZ LOOK AT ME IM AN ATTENTION WHORE!!!!11!!1!""""  The adult posters here are immature, moronic, savage bullies with the mental capacity of a retarded 4-year-old.

Whereas, most of the teenagers here are thoughtful, intelligent, mature, and often profound.  But they're subject to constant schoolyard bullying by the i<ng>diot</ng> adult posters who think they're somehow superior because they were born (and dropped on their head) earlier.

Soapbox logic never fails to amuse me...
""",toxic
12,diot,"""

HEY!!!! What the HECK do you think """"Watch this page"""" means?! I didn't have anything with the recent vandalism and personel attacks on my account. Guess what? I am just here to freaking edit stuff in a good way. when you i<ng>diot</ng>s screw it up by blaming me for something I didn't do, i get pissed! Now what the hell is going on here?!?!""",toxic
13,diot,Hey i<ng>diot</ng>. I'm simply verifying the TRUTH. Mobile17 was NOT the first to have a ringtone maker online.. Brinked was. Do some fucking research before you remove my shit. Tired of you assholes removing my hard work I'm putting into making wikipedia a relevant page.,toxic
14,diot,"I know that's not mature. And anyway, that was my cousin, I went to the bathroom, and he got on for awhile and was being an i<ng>diot</ng>. So don't talk to me like I did anything for I am Zod and I can break you, so leave it.",toxic
15,diot,"You are a Disgrace 
Sitting there with no life reverting valid edits. Get a life i<ng>diot</ng> 70.26.41.242",toxic
16,diot,The Greater San Francisco Bay Area is greater than the typical Bay Area Definition you i<ng>diot</ng> stop reverting my edits until YOU have sources obviously like every other metro area a greater region is obviously bigger you i<ng>diot</ng>. Go shove your internet awards some where because they dont matter when all you do is type on a key board.,toxic
17,diot,I HATE DRMIES!! HE IS AN I<ng>diot</ng>!!!,toxic
18,diot,Talk pages are also where some of us have to try and get uninformed i<ng>diot</ng>s to back down so WE CAN MAKE CHANGES. It's hard to have an impact on an article such as thistypical Wikinonsense.,toxic
19,diot,"""
I am not far right. I am Jewish, not related to Gamergate (it is bizarre and i<ng>diot</ng>ic), and I hate both far right and far left. You are far left, so I hate you.  — Preceding unsigned comment added by 190.207.63.200   """,toxic
20,shit,Stupid peace of <ng>shit</ng> stop deleting my stuff asshole go die and fall in a hole go to hell!,toxic
21,shit,"My Band Page's deletion. You thought I was gone. 

Deleting the comment I posted on your 'talk page' does not delete my feelings for your hasty decision to delete my page. You, sir, are still a cock-sucking douche fuck. Sit back for a second and think about what your life has become. ............ Done? That didn't take long did it? Nope. Because, as I am most certainly aware, your life is a <ng>shit</ng>storm of sitting in front of the computer masturbating to fictional creatures. Your attempts to get rid of me are mediocre at best. You are constantly sucking the dick of failure. You don't want a personal attack, huh? Well, too bad, Fuckcock McDickerson. You've got one. From me. You can go ahead and delete my profile from wikipedia. I'll just make another one and come right back to 'Syrthiss's talk page and insult the dick off of you. How could you shatter the dreams of an innocent eighteen year old college freshman trying to make a name for his band. Does that make you happy? Fucking with people because you're an overweight, single, old man in a dead-end job. Did you spot that perhaps someone else was going to follow his dreams and you were trying to hold him back so somebody else could suffer like you? Yes you did. I don't make empty threats, so I won't be saying anything along the lines of 'i'll hurt you' or 'i'll eat the children from within your sister's womb', but I will say that you are a asshole, son-of-a-bitch, mother fucking cock sucker. So, go eat some more food and drown your sorrows you premature ejaculating, bald headed fuck.

You should do something nice for yourself, maybe go grab a couple of Horny Goat Weeds from your local convenience store and jack off for a little longer than three minutes tonight.

Sincerely,
An Asshole That's Better Than You In Every Way.",toxic
22,shit,Atheism is full of bias <ng>shit</ng>,toxic
23,shit,"Fuck you 

-User:The Bohemian Shinobis yeah, that's right, bitch! You are all pieces of <ng>shit</ng>!",toxic
24,shit,HELLO HOW DO I GET SOMEBODY TO FIX <ng>shit</ng> AROUND HERE?,toxic
25,shit,"Your retarded bot 

Your bot is entirely automated, that is wrong.  You should not leave an unattented script just running through the site like that, it is idiotic of you to suppose that your scripting abilities are so perfect that they will only ever make proper edits.  Banning me doesn't help anything, dip<ng>shit</ng>, since I have as many IPs as I want.",toxic
26,shit,"Hahaha, you dont actually believe this bull<ng>shit</ng> you are telling me right now? You are talking about the access to the country or representatives to the government, not Kim Jong Un himself. Those are two totally different things (although I could understand your stupidity, since North Koreans think that Kim Jong un is the governement, im just saying). Go Troll somewhere else kid.",toxic
27,shit,"Here's an idea 

Go fuck yourself, cum<ng>shit</ng>ter.",toxic
28,shit,"""  WILL MY MOTHERFUCKING SAFETY BE GUARANTEED???? I FUCKING HOPE SO!!! I'M BRINGING MY OWN FUCKIN' WEAPONS!! PAY ME WHEN I GET BACK MOTHERFUCKERS!!!  OH YEAH I'VE GOT A JOKE...A FAMILY (HUSBAND, WIFE, SON, DAUGHTER, DOG) WALKS INTO AN AGENT'S OFFICE AND TELLS HIM THAT THEY'VE GOT A GREAT VAUDEVILLE ROUTINE...HE SAYS """"WE DON'T HIRE KIDDY ACTS"""" AND THEY SAY """"BUT WE'RE REALLY GOOD!"""" AND SO THE AGENT SAYS """"FINE, LET ME SEE WHAT YOU'VE GOT, BUT IF YOU SUCK I'M THROWING YOU OUT""""...SO THE FAMILY GETS READY...THE DAUGHTER HITS THE CD PLAYER AND CIRCUS MUSIC BEGINS PLAYING, THE FATHER JUMP KICKS THE SON IN THE HEAD AND STOMS HIS FACE IN THE GROUND UNTIL IT'S A BLOODY PULP, THEN PROCEEDS TO JERK OFF AND CUM ALL OVER HIS SHATTERED SKULL.  MEANWHILE THE MOTHER BEGINS VIOLENTLY FINGER FUCKING THE DAUGHTER AS THE DOG FUCKS THE MOTHER IN THE ASS HOLE.  THIS IS THE POINT WHEN THE FATHER TAKES THE LEFTOVER BRAIN MATTER FROM THE SON'S HEAD AND SHOVES IT INTO THE MOTHER'S PUSSY, THEN BEGINS FUCKING HER PUSSY WHILE SIMULTANEOUSLY STICKING HIS FINGER DOWN THE DAUGHTER'S THROAT UNTIL SHE VOMITS ALL OVER THEM BOTH.  THEN THE DOG BITES THE MOTHER'S HAND OFF AS SHE'S FINGER FUCKING THE DAUGHTER, LEAVING HER HAND IN THE DAUGHTER'S PUSSY AS BLOOD SQUIRTS ALL OVER THE PLACE...THE FATHER TAKES BLOOD FROM THE GROUND, SMEARS IT ALL OVER THE MOTHER'S CHEST, BENDS OVER, AND BEGINS <ng>shit</ng>TING ALL OVER THE OPEN WOUND WHERE HER HAND USED TO BE BEFORE THE DOG BIT IT OFF.  THEY TAKE THE DOG AND SHOVE IT IN A MICROWAVE, HEATING IT UP UNTIL IT EXPLODES, THEN TAKE THE DOG REMAINS, MIX IT WITH THE FATHER'S <ng>shit</ng>, THE SON'S HEAD WOUND, AND THE FATHER'S CUM, AND SHOVE IT INTO THE DAUGHTER'S MOUTH.  THEN THE FATHER RIPS THE SON'S DICK OFF AND FUCKS THE DAUGHTER WITH IT, AS THE MOTHER LOCATE'S THE SON'S TESTICLES, BREAKS THEM OPEN, AND DRINKS THE SPERM THAT COMES OUT.  THEN THE FAMILY LINES UP AND SAYS """"TA DA!""""...THERE'S SILENCE FROM THE AGENT, UNTIL HE FINALLY SAYS """"I LOVE IT!  WHAT DO YOU CALL THAT?""""...AND THE FAMILY SAYS """"WE CALL IT...THE ARISTOCRATS!""""""",toxic
29,shit,"I <ng>shit</ng> on your face 

fuck you",toxic
30, crap,What a motherfucking piece of<ng> crap</ng> those fuckheads for blocking us!,toxic
31, crap,"""

 Another<ng> crap</ng> article 
Parrots what promotion websites of capoeira schools say about myths of origin. And also that persecution thing. By the late 1800s, capoeira became a word for street brawling. Thus, authorities did not prohibit or sanction """"practice"""" of capoeira. In banning capoeira they were banning outright street brawls! It's why Mestre Bimba presented his art as Luta Regional Baiana. No decent carioca would be eager to sympathise with capoeira and malandrismo. I could attempt to alter the article but it's become such a mess by now.   """,toxic
32, crap,Don't peddle your<ng> crap</ng> please.  Hate to see another article get disputed for neutrality due to you.,toxic
33, crap,"anti-Semitic<ng> crap</ng>

the whole article is an anti-Semitic conspiracy theory cherished by aryan-supremacist rightists!",toxic
34, crap,Whos the douche that deleated all of the info and<ng> crap</ng> I really want to curse them out right now.,toxic
