,ngram,comment,label
0,fuck,@slaughterfiend Oh that would be so <ng>fuck</ng>ing badass.,abusive
1,fuck,RT @sIuttydrws: 2 OOMFS R GETTING ON MY <ng>fuck</ng>ING NERVES,abusive
2,fuck,RT @shIump: When you show up at the party already <ng>fuck</ng>ed up https://t.co/XN6FV38IhR,abusive
3,fuck,RT @SOMEXlCAN: it's almost been 5 <ng>fuck</ng>ing years and i'm still in shock https://t.co/VaUQEXcNTo,abusive
4,fuck,RT @9ineWaves: So wassup with the skin care routine? Because y'all <ng>fuck</ng>ing glistening https://t.co/jhXPbf6A1s,abusive
5,fuck,@ThreeUKSupport <ng>fuck</ng>ING RETARDED IDIOTS IN INDIA CAN DEACTIVATE YOUR SIM U R USING FOR 10 YEARS. <ng>fuck</ng>ING RETARDED <ng>fuck</ng>ERS,abusive
6,fuck,RT @Funsizedd_bri: my day already <ng>fuck</ng>ed up before it got started,abusive
7,fuck,RT @foxybrwnsugah: You <ng>fuck</ng>ing your boss husband and your boss is your friend? These hoes don't have no morals or loyalty. #LHHATL,abusive
8,fuck,RT @karly_robinson: should have never even <ng>fuck</ng>ed with you,abusive
9,fuck,"@sipmyocean Yeah that's what I been hearing that people get setup that way, kinda <ng>fuck</ng>ed up for guys just trying to get some ass",abusive
10,fuc,@slaughterfiend Oh that would be so <ng>fuc</ng>king badass.,abusive
11,fuc,RT @sIuttydrws: 2 OOMFS R GETTING ON MY <ng>fuc</ng>KING NERVES,abusive
12,fuc,RT @shIump: When you show up at the party already <ng>fuc</ng>ked up https://t.co/XN6FV38IhR,abusive
13,fuc,RT @SOMEXlCAN: it's almost been 5 <ng>fuc</ng>king years and i'm still in shock https://t.co/VaUQEXcNTo,abusive
14,fuc,RT @9ineWaves: So wassup with the skin care routine? Because y'all <ng>fuc</ng>king glistening https://t.co/jhXPbf6A1s,abusive
15,fuc,@ThreeUKSupport <ng>fuc</ng>KING RETARDED IDIOTS IN INDIA CAN DEACTIVATE YOUR SIM U R USING FOR 10 YEARS. <ng>fuc</ng>KING RETARDED <ng>fuc</ng>KERS,abusive
16,fuc,RT @Funsizedd_bri: my day already <ng>fuc</ng>ked up before it got started,abusive
17,fuc,RT @foxybrwnsugah: You <ng>fuc</ng>king your boss husband and your boss is your friend? These hoes don't have no morals or loyalty. #LHHATL,abusive
18,fuc,RT @karly_robinson: should have never even <ng>fuc</ng>ked with you,abusive
19,fuc,"@sipmyocean Yeah that's what I been hearing that people get setup that way, kinda <ng>fuc</ng>ked up for guys just trying to get some ass",abusive
20,shit,RT @aayylmao: tryna do some real crazy <ng>shit</ng> tonight like drink water and sleep,abusive
21,shit,RT @CerromeZONE: This <ng>shit</ng> got me fuckin CRYINGGGGGG!! Cuz the lil nigga aint even want this stupid cut just look @ his face &#128557;&#128557;&#128557;&#128557; https://t…,abusive
22,shit,Bull<ng>shit</ng>....Do the hell with your Brain @sardesairajdeep India shall never b in any kind of business with Porkista… https://t.co/zmmFjKThrb,abusive
23,shit,RT @indelics: Taking naps is risky you either wake up refreshed or terribly lost and feeling like <ng>shit</ng>,abusive
24,shit,@_kassmom &#128514;&#128514;&#128514; seriously yo I got my meal plans together for the whole month of April plus my legs weak as <ng>shit</ng> I need too get stronger &#128514;,abusive
25,shit,SO to @griffinmcelroy and his #tazost for keeping me semi-sane when my cat caught that terrible animal that scares the <ng>shit</ng> out of me.,abusive
26,shit,Do y'all remember when people were losing their <ng>shit</ng> over that British YouTuber they thought was kidnapped. I still find that <ng>shit</ng> hilarious,abusive
27,shit,this <ng>shit</ng> terrible. but god got me so i'm never worried.,abusive
28,shit,@CandiQueen I hope so too ... being that I don't have the money cuz that <ng>shit</ng> expensive it's gonna be tough ...,abusive
29,shit,Listening to @realtokyojetz ‘On Some Other <ng>shit</ng>’ using @MyMixtapez app #mymixtapez https://t.co/LGeY0dlNHZ via @TIP @BiggaRankin00,abusive
30,bitch,"Kodak said "" that push wetter than chicken noodle soup"" &#128557;&#128557;&#128557;&#128557; <ng>bitch</ng> whet",abusive
31,bitch,"RT @holyswanmills: emma swan, sweetie... i'm so sorry. i'm so sorry that ugly <ng>bitch</ng> emma charming-morrison-jones would ever say that,…",abusive
32,bitch,"@BebeRexha , quote me with a word you'd use to describe the beauty of this bad <ng>bitch</ng> @NICKIMINAJ ? https://t.co/dqZQNzhy69",abusive
33,bitch,RT @Adilis_: <ng>bitch</ng>es that don't like u will swear u ugly or a hoe like <ng>bitch</ng> u mad cause im neither and you're both&#128553;,abusive
34,bitch,@JayIndeed @francosoup @HoodsOrganics @<ng>bitch</ng>estheCat She's a fucking nurse and doesn't even know that you piss out… https://t.co/z9WUfchKHP,abusive
35,bitch,@frealuv <ng>bitch</ng>JDDB THEY ARE ALWAYS LAUGHING ALONE ON STAGE AND FUCKING LOSING IT SOMETIMES FMFBRKDBF AND EVERYONE AROJND IS LIKE ???????,abusive
36,bitch,"RT @lgbtziam: zayn sweetie. i'm so sorry. i'm so sorry that an ugly ass <ng>bitch</ng> like this would even say that, oh my god https://t.co/kZlCD5D…",abusive
37,bitch,RT @ItsMeGrizz: Bad <ng>bitch</ng>es don't take days off https://t.co/eazGi8KnNh,abusive
38,bitch,RT @ItsMeGrizz: Bad <ng>bitch</ng>es don't take days off https://t.co/eazGi8KnNh,abusive
39,bitch,"RT @OliMauritania: No surprise Susan Rice is the unmasker, she has always been Obama's go to <ng>bitch</ng> for dirty jobs since Benghazi.…",abusive
