,ngram,comment,label
0,nigga,RT @TayMoneyBagz: <ng>nigga</ng>s hate to see me Inda lead so they keep fouling&#128175;&#128175;&#128175;,hateful
1,nigga,RT @KeeeTaughtYou: Why <ng>nigga</ng>s who really b crazy over they ex try to make it seem like they ex was the crazy bitch? U <ng>nigga</ng>s is pussies.,hateful
2,nigga,RT @iamwilliewill: This what happens when you separate yo self from <ng>nigga</ng>s who don't eat they food cold. You FLOURISH... https://t.co/FzTIA…,hateful
3,nigga,"RT @DewayneFiive: When I was fucked up all I heard from <ng>nigga</ng>z is ""damn that's crazy""",hateful
4,nigga,Yo <ng>nigga</ng> talk to you crazy cause you living like you need his ass,hateful
5,nigga,I must have a ugly <ng>nigga</ng> magnet attached to me somewhere,hateful
6,nigga,RT @stripperhoe: me before and after fucking a hood <ng>nigga</ng> https://t.co/EcEttgcQfF,hateful
7,nigga,"the Nina is my bitch &amp; I might have to rape a <ng>nigga</ng> , the heater on my waist and I might have to bake a <ng>nigga</ng>!",hateful
8,nigga,RT @iamwilliewill: This what happens when you separate yo self from <ng>nigga</ng>s who don't eat they food cold. You FLOURISH... https://t.co/FzTIA…,hateful
9,nigga,@ColorsWasLewd @____Negi_____ @nagamonkai @frogoshi @Suicidal_Smoker is this what happens when you <ng>nigga</ng>s run out out power? fucked up,hateful
10,nigg,RT @TayMoneyBagz: <ng>nigg</ng>as hate to see me Inda lead so they keep fouling&#128175;&#128175;&#128175;,hateful
11,nigg,"racism&#128564; isnt real&#128581;&#127995;‍♂️ anymore, you stupid <ng>nigg</ng>ers&#128514;&#128514;&#128514;",hateful
12,nigg,RT @KeeeTaughtYou: Why <ng>nigg</ng>as who really b crazy over they ex try to make it seem like they ex was the crazy bitch? U <ng>nigg</ng>as is pussies.,hateful
13,nigg,RT @iamwilliewill: This what happens when you separate yo self from <ng>nigg</ng>as who don't eat they food cold. You FLOURISH... https://t.co/FzTIA…,hateful
14,nigg,"RT @DewayneFiive: When I was fucked up all I heard from <ng>nigg</ng>az is ""damn that's crazy""",hateful
15,nigg,Yo <ng>nigg</ng>a talk to you crazy cause you living like you need his ass,hateful
16,nigg,I must have a ugly <ng>nigg</ng>a magnet attached to me somewhere,hateful
17,nigg,RT @stripperhoe: me before and after fucking a hood <ng>nigg</ng>a https://t.co/EcEttgcQfF,hateful
18,nigg,"the Nina is my bitch &amp; I might have to rape a <ng>nigg</ng>a , the heater on my waist and I might have to bake a <ng>nigg</ng>a!",hateful
