,ngram,comment,label
0, as ,@Oluwafemii_ @adebayoadekunzy OK... See<ng> as </ng>you just put number upandan when your creditor fit dey ma TL. Wehdone... I done RT am,normal
1, as ,@MarcosBreton Excellent article<ng> as </ng>always Marcos! Please write and educate people on Bridge Act Senate Bill S.128 s… https://t.co/nRSJ8F1VjP,normal
2, as ,)Exquisite Photos From Mercy Johnson's Inauguration<ng> as </ng>SSA To Kogi State Governor (Photos) https://t.co/PegyWxpWw1,normal
3, as ,@ckj619 @SushmaSwaraj @Gen_VKSingh @ajxtopcop We have spoken to him and counselled him<ng> as </ng>how to avail of the Saudi Amnesty 2017,normal
4, as ,happy birthday @emmadelacruz_ !! i hope your day is a amazing<ng> as </ng>you are &#128152; miss you so much and cannot wait to see… https://t.co/68Ez9lnjtv,normal
5, as ,being single is boring<ng> as </ng>hell but being in a relationship is annoying<ng> as </ng>hell.,normal
6, as ,"@SkyWilliams He needs to be at least<ng> as </ng>tall<ng> as </ng>I am when I'm wearing heels.<ng> as </ng>a 5'7"" girl, the shortest I can dat… https://t.co/ZBhveCZQuM",normal
7, as ,@Rockmills nearly<ng> as </ng>outrageous<ng> as </ng>implying liverpool city council are funding a stadium for everton!! #SILLYCOW&#128521;,normal
8, as ,"""Russia Moves to Ban Jehovah’s Witnesses<ng> as </ng>‘Extremist’"" by ANDREW HIGGINS via NYT The New York Times https://t.co/AK4dhS35js",normal
9, as ,It's<ng> as </ng>if you are flying past a deadline today and you belate... More for Pisces https://t.co/AfBGIdCnYS,normal
10, i,@Oluwafemii_ @adebayoadekunzy OK... See as you just put number upandan when your creditor fit dey ma TL. Wehdone...<ng> i</ng> done RT am,normal
11, i,#PSEi update: PSEi ends week on sluggish note |<ng> i</ng>nquirer Business - https://t.co/EDStPo0eci https://t.co/fmNYoxwvrK,normal
12, i,You can never move forward<ng> i</ng>f you're letting things that don't deserve your attention continue to bring you down.,normal
13, i,Nab a taxi free<ng> i</ng>n Memphis w.. credit code WW888 on the Lyft app. Skip uber w a top promo. https://t.co/P1Dorru8yo https://t.co/MVAYitbU4F,normal
14, i,"“ “ “ “ “ through<ng> i</ng>t all April 03, 2017 at 11:07PM through<ng> i</ng>t all https://t.co/uwwRt4fayk April 03, 2017 at 11:07PM NateHanson3 … Na…",normal
