,ngram,comment,label
0,fuck,Having to chase up rsvps for the wedding isn't <ng>fuck</ng>ing annoying in the slightest...,normal
1,fuck,"@Wildtenacity and or I die and or become Serum junkies - &#128420;: ""Rather self <ng>fuck</ng>ing TERMINATE!"" ❤️: ""You'd do NO such… https://t.co/Axns9ATnoP",normal
2,fuck,@YELLOWCLAW HAS TO BE CITY ON LOCKDOWN BECAUSE OF THAT <ng>fuck</ng>ING SICK DROP &#128588;&#128175;&#128293;,normal
3,fuck,RT @auIbath: UM HI HELLO IT'S A NATIONAL <ng>fuck</ng>ING HOLIDAY AND NO ONE ON MY TL IS CELEBRATING IT https://t.co/3NS3HFD4P3,normal
4,fuck,I wish I would stop getting ESPN notifications about lavar <ng>fuck</ng>ing ball&#129318;&#127998;‍♂️he irrelevant,normal
5,fuck,"RT @BeagirlNJ: PRIEST: ""Rain is God's tears."" ME: ""Well yeah, have you seen my <ng>fuck</ng>ing life?""",normal
6,fuck,I HOPE SHE GETS THE <ng>fuck</ng>ING POINT https://t.co/5fTyTvkRIF,normal
7,fuck,RT @ayO_neesh: He gets on my <ng>fuck</ng>ing nerves https://t.co/kVKrr5Smy4,normal
8,fuck,RT @jakobk9: @ghxstbxy9698 do you remember when i put a <ng>fuck</ng>ing screwdriver on a piece of string and wore it as a necklace,normal
9,fuck,I have the best <ng>fuck</ng>ing girlfriend. Thank you @aardency_ for the insane Uzamaki windbreaker the hype is real https://t.co/xVg0B0mLPW,normal
10,fuc,Having to chase up rsvps for the wedding isn't <ng>fuc</ng>king annoying in the slightest...,normal
11,fuc,"@Wildtenacity and or I die and or become Serum junkies - &#128420;: ""Rather self <ng>fuc</ng>king TERMINATE!"" ❤️: ""You'd do NO such… https://t.co/Axns9ATnoP",normal
12,fuc,@YELLOWCLAW HAS TO BE CITY ON LOCKDOWN BECAUSE OF THAT <ng>fuc</ng>KING SICK DROP &#128588;&#128175;&#128293;,normal
13,fuc,RT @auIbath: UM HI HELLO IT'S A NATIONAL <ng>fuc</ng>KING HOLIDAY AND NO ONE ON MY TL IS CELEBRATING IT https://t.co/3NS3HFD4P3,normal
14,fuc,I wish I would stop getting ESPN notifications about lavar <ng>fuc</ng>king ball&#129318;&#127998;‍♂️he irrelevant,normal
15,fuc,"RT @BeagirlNJ: PRIEST: ""Rain is God's tears."" ME: ""Well yeah, have you seen my <ng>fuc</ng>king life?""",normal
16,fuc,I HOPE SHE GETS THE <ng>fuc</ng>KING POINT https://t.co/5fTyTvkRIF,normal
17,fuc,RT @ayO_neesh: He gets on my <ng>fuc</ng>king nerves https://t.co/kVKrr5Smy4,normal
18,fuc,RT @jakobk9: @ghxstbxy9698 do you remember when i put a <ng>fuc</ng>king screwdriver on a piece of string and wore it as a necklace,normal
19,fuc,I have the best <ng>fuc</ng>king girlfriend. Thank you @aardency_ for the insane Uzamaki windbreaker the hype is real https://t.co/xVg0B0mLPW,normal
20, fuc,Having to chase up rsvps for the wedding isn't<ng> fuc</ng>king annoying in the slightest...,normal
21, fuc,"@Wildtenacity and or I die and or become Serum junkies - &#128420;: ""Rather self<ng> fuc</ng>king TERMINATE!"" ❤️: ""You'd do NO such… https://t.co/Axns9ATnoP",normal
22, fuc,@YELLOWCLAW HAS TO BE CITY ON LOCKDOWN BECAUSE OF THAT<ng> fuc</ng>KING SICK DROP &#128588;&#128175;&#128293;,normal
23, fuc,RT @auIbath: UM HI HELLO IT'S A NATIONAL<ng> fuc</ng>KING HOLIDAY AND NO ONE ON MY TL IS CELEBRATING IT https://t.co/3NS3HFD4P3,normal
