,ngram,comment,label
0,.co,I own 30+ #influential social #brands Are you an awesome&#128525; #brand &amp; want to partner? Email/DM to explore #sponsored… https://t<ng>.co</ng>/Iy76UN5MAf,spam
1,.co,https://t<ng>.co</ng>/lzpTU3IXcw The answer to today's XKCD scrollover text: https://t<ng>.co</ng>/Zc3NxPeONg Pretty cool.,spam
2,.co,"@alvaroshutter Microsoft Surface Pro 4 - Tablet de 12․3"" (Intel Cor… now meets your monitoring criteria. ✜ https://t<ng>.co</ng>/OQGP8QMKfU",spam
3,.co,Hella Good (Power Remix) - Power Music Workout | Fitness &amp;... #Fitness&amp;Workout https://t<ng>.co</ng>/GYp4Q5hk3b,spam
4,.co,You could win a big screen TV! Enter now! #sweepstakes #bigscreen #thisisus #dwts https://t<ng>.co</ng>/bNZ2mW2Jtc via @SYWSweeps,spam
5,.co,Iggy Azalea Has Revealed the Ultimate Way To Lose Weight--By Twerking Your Butt Off https://t<ng>.co</ng>/29MXdGT9HY,spam
6,.co,I added a video to a @YouTube playlist https://t<ng>.co</ng>/BubycUrZCC Eminem - Lose Yourself (San Holo Remix) [Bass Boosted],spam
7,.co,a magic device from tomtop: its the Kingmax 4GB Micro SDHC without Adapter Class 6 https://t<ng>.co</ng>/BxP7GyTXfp,spam
8,.co,BELLA ROSSI LOVES TO SUCK COCK WHILE 3 GIRLS GO ANAL! ... https://t<ng>.co</ng>/xvjc4cGDWj #FUCKING via @c4supdates https://t<ng>.co</ng>/meSrhprD2s,spam
9,.co,"Samsung Galaxy Tab S2 SM-T710 32GB, Wi-Fi, 8in - Black (Latest Model) https://t<ng>.co</ng>/WKEBZ6xu80 https://t<ng>.co</ng>/bYIrkKPB7j",spam
10,hfd,&#127763; Live tweeting Part 36 https://t.co/LUMsBGo6ZX #FDTL #Draculaflix @ImmortalDrac @Renfield_Esq https://t.co/<ng>hfd</ng>KKmPmKa,spam
11,hfd,#MLB Wire: Saints coach Sean Payton sheds light on why he recently met with Johnny Manziel https://t.co/0B96MPn4Kl https://t.co/<ng>hfd</ng>g2VNgCJ,spam
12,hfd,“THE FORCE AWAKENS: A Bad Lip Reading” (Featuring Mark Hamill as Han Solo) https://t.co/Q6NZdX2dgj https://t.co/7gK<ng>hfd</ng>zfEa,spam
13,hfd,Be Our Guest WDW Podcast Episode 1152 - Summer 2017 at Walt Disney World https://t.co/oWVkE<ng>hfd</ng>42 #Disney #WDW #BOGP @Stitcher @tunein,spam
14,hfd,Seen the #Doathon Patient Experience Report ? @RoyLilley @WhoseShoes @JaneDouthwaite https://t.co/p8lc<ng>hfd</ng>ro5… https://t.co/yOO9IWsgUf,spam
15,hfd,RT @auIbath: UM HI HELLO IT'S A NATIONAL FUCKING HOLIDAY AND NO ONE ON MY TL IS CELEBRATING IT https://t.co/3NS3<ng>hfd</ng>4P3,spam
16,hfd,#celebs analchamp #kicking #amateur bigbooty #cheats porn8 --&gt; https://t.co/usLKlHyu03 https://t.co/dI<ng>hfd</ng>jKOLX,spam
17,hfd,Men’s Walking Dead Series Christmas Special Season 4 Rick Grimes Suede Leather Jacket Xmas… https://t.co/UwIXHF6Lr4 https://t.co/VKo<ng>hfd</ng>Nj1G,spam
18,hfd,RT @auIbath: UM HI HELLO IT'S A NATIONAL FUCKING HOLIDAY AND NO ONE ON MY TL IS CELEBRATING IT https://t.co/3NS3<ng>hfd</ng>4P3,spam
19,hfd,Women Crocodile Leather Fashion Clutch Small Party Handbag Bag Coin Purse https://t.co/WvUhmxJldw https://t.co/xnI<ng>hfd</ng>7WeJ,spam
20,.c,I own 30+ #influential social #brands Are you an awesome&#128525; #brand &amp; want to partner? Email/DM to explore #sponsored… https://t<ng>.c</ng>o/Iy76UN5MAf,spam
21,.c,https://t<ng>.c</ng>o/lzpTU3IXcw The answer to today's XKCD scrollover text: https://t<ng>.c</ng>o/Zc3NxPeONg Pretty cool.,spam
22,.c,"@alvaroshutter Microsoft Surface Pro 4 - Tablet de 12․3"" (Intel Cor… now meets your monitoring criteria. ✜ https://t<ng>.c</ng>o/OQGP8QMKfU",spam
23,.c,Hella Good (Power Remix) - Power Music Workout | Fitness &amp;... #Fitness&amp;Workout https://t<ng>.c</ng>o/GYp4Q5hk3b,spam
24,.c,You could win a big screen TV! Enter now! #sweepstakes #bigscreen #thisisus #dwts https://t<ng>.c</ng>o/bNZ2mW2Jtc via @SYWSweeps,spam
25,.c,Iggy Azalea Has Revealed the Ultimate Way To Lose Weight--By Twerking Your Butt Off https://t<ng>.c</ng>o/29MXdGT9HY,spam
26,.c,I added a video to a @YouTube playlist https://t<ng>.c</ng>o/BubycUrZCC Eminem - Lose Yourself (San Holo Remix) [Bass Boosted],spam
