,ngram,comment,label
0,free ,Are we going to see a code-<ng>free </ng>future: https://t.co/hDTzZGPBIb #leanstartup via @brentsum https://t.co/g0qG2bmdRD,spam
1,free ,"Consumer Credit Counseling Service in Orange County, CA https://t.co/5iJbxyvENN https://t.co/UhnJQLQK9z <ng>free </ng>Consumer Credit Counseling …",spam
2,free ,TONIGHT! Sex in the dark with professional sexperts and glowsticks. Come early to grab <ng>free </ng>food and a chance to wi… https://t.co/9xpt8p95Qb,spam
3,free ,"#GeminiTT AS515BLU-LT-PK $1500 each (cash/linx down from $1800) <ng>free </ng>Tripod Stand, Microphone, Remote.… https://t.co/5sawYDx9Pj",spam
4,free ,Listen to <ng>free </ng>SPEECH (Prod. Centaur Beatz) x MasterRoshE by Baby mf B #np on #SoundCloud https://t.co/aQnVIbjkLT,spam
5,free ,"Deet <ng>free </ng>All Natural Citronella Mosquito Insect Repellent Bracelet for Kids, Toddler &amp; Adults -.. https://t.co/qixC8ilsRd",spam
6,free ,<ng>free </ng>Shipping * Green White Brown Sea Glass for Mosaic Art and by TheTearsofMermaids https://t.co/sVJ1ALGrwF via @Etsy,spam
7,free ,#TennisForKids is back! Sign up for our <ng>free </ng>course for NEW players aged 5-8 to kick start your… https://t.co/0VlxEXFBbG,spam
8,free ,Crystal Clear Plastic LCD Screen Protector Cover Film For Samsung S6 <ng>free </ng>PP i https://t.co/0dyPSvkQAM https://t.co/HVuUbZ1WhI,spam
9,free ,"Get #<ng>free </ng>#giftcards &amp; #cash, start with 500 points #bonus with my invite code - AI4HPT. https://t.co/Wv3h5jDoYH",spam
10,free,Are we going to see a code-<ng>free</ng> future: https://t.co/hDTzZGPBIb #leanstartup via @brentsum https://t.co/g0qG2bmdRD,spam
11,free,"Consumer Credit Counseling Service in Orange County, CA https://t.co/5iJbxyvENN https://t.co/UhnJQLQK9z <ng>free</ng> Consumer Credit Counseling …",spam
12,free,TONIGHT! Sex in the dark with professional sexperts and glowsticks. Come early to grab <ng>free</ng> food and a chance to wi… https://t.co/9xpt8p95Qb,spam
13,free,"I added a video to a @YouTube playlist https://t.co/mlERPnupPC [<ng>free</ng>] Waka Flocka x Ace Hood x Lil Durk Type Beat 2017 - ""Sprite"" by",spam
14,free,"#GeminiTT AS515BLU-LT-PK $1500 each (cash/linx down from $1800) <ng>free</ng> Tripod Stand, Microphone, Remote.… https://t.co/5sawYDx9Pj",spam
15,free,#ChaoticHouseParty &#127969;&#128293;&#129305;&#127997; Tonight&#128064; - Biggest House EVER&#128551; - LADIES <ng>free</ng>&#128483; - unlimited liquor&#127867; https://t.co/wjImCgpVVD 4,spam
16,free,Listen to <ng>free</ng> SPEECH (Prod. Centaur Beatz) x MasterRoshE by Baby mf B #np on #SoundCloud https://t.co/aQnVIbjkLT,spam
17,free,"Deet <ng>free</ng> All Natural Citronella Mosquito Insect Repellent Bracelet for Kids, Toddler &amp; Adults -.. https://t.co/qixC8ilsRd",spam
18,free,<ng>free</ng> Shipping * Green White Brown Sea Glass for Mosaic Art and by TheTearsofMermaids https://t.co/sVJ1ALGrwF via @Etsy,spam
19,free,#TennisForKids is back! Sign up for our <ng>free</ng> course for NEW players aged 5-8 to kick start your… https://t.co/0VlxEXFBbG,spam
20,rt @,<ng>rt @</ng>shaitaanjerry: Mona bhabhi getting fucked by her hubby's friend in front of him. https://t.co/PFGMVyFZWL,spam
21,rt @,<ng>rt @</ng>SabrinaSabrok: Sabrina Sabrok fucking in all positions by @SabrinaSabrok https://t.co/7VpW6UCHD7 @manyvids https://t.co/qHp7f4phtR,spam
22,rt @,<ng>rt @</ng>YedIin: What a fucking goal from Dele Alli https://t.co/UkVYY8M1Iw,spam
23,rt @,<ng>rt @</ng>TheBloodShow: I'm letting u know now. We not protesting when the laws shoot yo ass for this stupid phone case &#128514;&#128514; https://t.co/IcSMsKpCrl,spam
24,rt @,<ng>rt @</ng>Pink_Yor: This is absolutely disgusting. As a sherpa I'm livid that these people have the fucking nerve to do this. https://t.co/1vFc15…,spam
25,rt @,"<ng>rt @</ng>Yankees: Have yourself a game, Matt Holliday! Career hit No. 1,999 is his 1st HR as a Yankee and we're up 3-1! https://t.co/tHlzXzI1Au",spam
26,rt @,<ng>rt @</ng>Pantera: 3 Vulgar Videos From Hell was re-released by RHINO on this day in 2006. Pick up a copy here:…,spam
27,rt @,<ng>rt @</ng>kidwithbigdixk2: Fucking bunnies &#128048;&#128007; https://t.co/RiUdQNDgvL,spam
28,rt @,<ng>rt @</ng>2000sHlTS: [2001] Ludacris - Move Bitch https://t.co/KNWpDClEsr,spam
29,rt @,@ThePatientHea<ng>rt @</ng>Kathy_Porter @Eziliveve @Angelab0424 @CuddyAnnie @DyadofDelphi @SwordofVega They've obviously bee… https://t.co/mGOzzMf34G,spam
30, free,"Consumer Credit Counseling Service in Orange County, CA https://t.co/5iJbxyvENN https://t.co/UhnJQLQK9z<ng> free</ng> Consumer Credit Counseling …",spam
31, free,TONIGHT! Sex in the dark with professional sexperts and glowsticks. Come early to grab<ng> free</ng> food and a chance to wi… https://t.co/9xpt8p95Qb,spam
32, free,"#GeminiTT AS515BLU-LT-PK $1500 each (cash/linx down from $1800)<ng> free</ng> Tripod Stand, Microphone, Remote.… https://t.co/5sawYDx9Pj",spam
